source,title,decision,reason
"DictaToOtzaria","אמרי נועם","include","Audited one-word commentary: 647 genuine lexical dibburim"
"DictaToOtzaria","אמת ליעקב על בבא בתרא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על בבא מציעא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על בבא קמא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על בכורות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על ברכות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על גיטין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על זבחים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על חגיגה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על חולין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על יבמות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על יומא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על כתובות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על מגילה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על מועד קטן","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על מכות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על נדה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על סוטה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על סוכה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על סנהדרין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על עבודה זרה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על עירובין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על פסחים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על קידושין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על ראש השנה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על שבועות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על שבת","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","אמת ליעקב על תענית","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית אהרן על בבא מציעא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית אהרן על גיטין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית אהרן על כתובות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית יעקב על כתובות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על בבא בתרא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על בבא מציעא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על בבא קמא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על ביצה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על בכורות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על ברכות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על גיטין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על זבחים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על חגיגה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על חולין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על יבמות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על יומא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על כריתות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על כתובות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על מגילה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על מועד קטן","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על מכות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על מנחות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על מעילה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על משניות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על נדה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על נדרים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על נזיר","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על סוטה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על סוכה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על סנהדרין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על עבודה זרה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על עירובין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על ערכין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על פסחים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על קידושין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על ראש השנה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על שבועות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על שבת","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על שולחן ערוך אורח חיים","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על שולחן ערוך יורה דעה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על תמורה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","בית מאיר על תענית","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גאון יעקב על עירובין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על אבות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על בבא בתרא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על בבא מציעא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על בבא קמא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ביצה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על גיטין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על הוריות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על יבמות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על יומא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי בבא בתרא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי בבא מציעא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי בבא קמא","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי ביצה","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי גיטין","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
"DictaToOtzaria","גליוני השס על ירושלמי הוריות","include","Terra corpus audit: genuine commentary with valid dibbur formatting"
